protein name	cluster
TMEFF2	42
AQP8	42
UBXN8	42
RNF185	42
PEX11G	42
SLC18A2	42
C2	42
TLCD1	42
ERGIC3	42
SFXN2	42
PLPPR1	42
TMEM35A	42
EVI2B	42
SLC38A1	42
MMGT1	42
LTC4S	42
LRRC59	42
LY6G6C	42
SCN3B	42
RNASEK	42
ADGRG3	42
ELOVL5	42
HSD17B13	42
BNIP1	42
SLC16A2	42
TMPRSS2	42
SFXN1	42
AGPAT5	42
TMEM248	42
RETREG3	42
CCDC107	42
RNF5	42
OTOP3	42
TSPAN12	42
CPLX4	42
RHD	42
FCRL3	42
SLC35F1	42
MFF	42
RHCG	42
EDA	42
SYT2	42
STOM	42
RIC3	42
TMEM176A	42
MFSD14B	42
SYNDIG1	42
SLC35E3	42
PEMT	42
TOMM6	42
CD74	42
MGLL	42
TMEM52B	42
NEMP1	42
SHISAL1	42
NDUFA3	42
FCER1G	42
DEFB108B	42
TMEM139	42
SLC35G2	42
TMEM119	42
SGPL1	42
TMEM130	42
TAP1	42
SLC10A6	42
TM4SF19-DYNLT2B	42
SLC19A3	42
CXorf66	42
MYADML2	42
FAXDC2	42
MRM1	42
TMX2	42
TM4SF19	42
SLC30A4	42
TM4SF18	42
TMEM120A	42
KCNN4	42
IL3RA	42
TMEM80	42
TAS2R19	42
VMA21	42
FAM210B	42
POMGNT1	42
CERS4	42
CD68	42
SLC16A7	42
CGRRF1	42
CLN5	42
GGT7	42
MGST3	42
CLDN2	42
SLC18A1	42
REEP2	42
ACKR2	42
KCNJ6	42
TMEM207	42
PAQR6	42
EDA2R	42
CD33	42
GOLT1A	42
MMD	42
SLC25A46	42
CYP4F22	42
CD69	42
CYBRD1	42
LRAT	42
SERINC2	42
SLC52A1	42
OTULINL	42
RNF144A	42
STMN4	42
GPR42	42
CACNG1	42
EBP	42
CMTM2	42
ALOX5AP	42
PTPN1	42
SLC16A13	42
TMEM74	42
LRCH4	42
ORMDL2	42
ERP29	42
SERF1A	42
SLC23A2	42
THAP4	42
TMEM205	42
GPR61	42
TMEM98	42
GPR101	42
ANK1	42
REEP4	42
ANKS6	42
CLDN1	42
CD53	42
LDLRAD1	42
SPNS3	42
AQP6	42
GJA4	42
TMEM101	42
LY6D	42
CLEC10A	42
NDUFAF2	42
VEZT	42
GORAB	42
MARCHF2	42
TMEM143	42
ATP1B3	42
RHBDL1	42
MS4A3	42
CLDN9	42
TMEM121	42
BLCAP	42
C5orf46	42
ZFYVE27	42
SFXN3	42
TMEM234	42
SLC35E4	42
STING1	42
ST6GAL2	42
SFXN5	42
BIK	42
SLC29A2	42
BTNL9	42
SEC11C	42
VSIR	42
TMEM41A	42
TMCO5A	42
SLC14A1	42
CNR2	42
PIGP	42
ATP6AP2	42
LPCAT2	42
CLDND2	42
SLC16A12	42
LAPTM5	42
GYPC	42
HSD3B1	42
SLC34A2	42
CORIN	42
ELOVL4	42
RFT1	42
CD302	42
CLEC12B	42
ELOVL7	42
C8A	42
DNAJC1	42
FAM174A	42
KCNK1	42
FCGR2A	42
KIR3DL3	42
SERF1B	42
OR10AG1	42
CD79A	42
ASGR2	42
ASZ1	42
TMPPE	42
SLC39A2	42
AQP10	42
F11R	42
BEST2	42
LEPROT	42
CD52	42
CLDN7	42
SPCS1	42
SERINC1	42
MGAM	42
ZNF664	43
CNOT9	43
GADD45G	43
RRP7A	43
GADD45A	43
MAPK9	44
MED12L	44
ZNF559	44
DUSP10	44
SHMT1	44
CAMK2D	45
TTC5	45
DUS1L	45
CAMK2G	45
CAMK2B	45
S100A3	46
S100A2	46
S100Z	46
S100A1	46
S100B	46
S100P	46
S100A10	46
TNFRSF10B	47
ZG16	47
WFDC5	47
NUCB2	47
PDGFA	47
ASPH	47
PRB1	47
SOD3	47
