protein name	cluster
LCE3A	67
VGLL3	67
KRTAP1-1	67
NR1D2	67
CSF1	67
KRTAP26-1	67
ADAMTSL3	67
EMC7	67
OXER1	67
RBM11	67
KRTAP22-1	67
CHIC2	67
SPATA3	67
PKD2	67
ZNF574	67
RGS20	67
TENT5A	67
CTNNBIP1	67
TEKT5	67
TSPYL6	67
KRTAP19-1	67
TRAPPC14	67
CRH	67
EPDR1	67
TRIP6	67
KRTAP6-2	67
LCE3B	67
LRFN4	67
TEKT3	67
MXI1	67
CYP21A2	67
SLC39A7	67
PTH1R	67
OLIG3	67
KRTAP10-9	67
ZNF101	67
ZNF578	67
LCE4A	67
RAMP3	67
KRTAP10-1	67
KRTAP12-1	67
FHL5	67
KRTAP1-3	67
KRTAP17-1	67
GATA3	67
SLC25A18	67
KRTAP9-2	67
GLP1R	67
TIMM22	67
PLSCR3	67
DCDC2B	67
SPPL2C	67
KCNS2	67
LRRN4	67
COA5	67
KRTAP15-1	67
TSC1	67
CBLL2	67
NOTCH2NLA	67
NUFIP2	67
MTA1	67
LCE2A	67
KRTAP21-2	67
RTN4RL1	67
LCE1A	67
SSC4D	67
FAM221B	67
KRTAP5-11	67
KRTAP3-2	67
LINGO1	67
INPP5D	67
KRTAP10-11	67
CRYBA1	67
RIMBP3C	67
EFEMP1	67
P4HB	67
SLC15A2	67
LGALS9C	67
TNP2	67
LCE3E	67
LIMS1	67
PLAC8	67
LCE1F	67
HYI	67
CCN3	67
ZNF786	67
BCL6B	67
PLA2G10	67
FOXD2	67
SPG7	67
KRTAP2-4	67
SPRY3	67
UXT	67
HSD3B7	67
RPS19BP1	67
TSPAN4	67
KRTAP10-7	67
ITIH6	67
C7orf31	67
RGS19	67
FZD10	67
ZNF768	67
RHBG	67
GSTP1	67
C17orf50	67
FBXW5	67
HSPB2	67
KRTAP12-2	67
ZDHHC1	67
VASN	67
AKAP8L	67
OLFM2	67
CD164	67
NBPF19	67
CBX2	67
SPRY2	67
CFP	67
PTPMT1	67
GRN	67
KRTAP6-1	67
KRTAP3-1	67
SHARPIN	67
KRTAP19-5	67
ADRA2C	67
PDE9A	67
ZNF503	67
SLC15A3	67
RBPMS	67
FASLG	67
SLC43A2	67
UNKL	67
LCE1C	67
HYAL2	67
KRTAP4-5	67
TMEM150A	67
ZNF524	67
RNF144B	67
PTK7	67
BATF2	67
KRTAP12-3	67
GPRIN2	67
ATP23	67
KRTAP19-6	67
ATG9A	67
YIPF3	67
KRTAP10-8	67
BMP7	67
KRTAP11-1	67
ADAM12	67
ANAPC11	67
NTN4	67
KLHL20	67
ACY3	67
IL10	67
NPDC1	67
ZNF764	67
POU2AF1	67
PGAP6	67
C11orf1	67
RGL2	67
TFAP2D	67
HSPA12B	67
ICAM4	67
LRRC41	67
ANKRD10	67
KRTAP5-1	67
JUP	67
SAMD7	67
P3H3	67
ZNF414	67
SEMA4C	67
OIT3	67
CHRNG	67
NECTIN3	67
LCE2D	67
SMCP	67
EVX2	67
PRKAG1	67
ZNF439	67
ALDH3B1	67
SLC6A20	67
P2RX4	67
P2RY6	67
ZNF34	67
SLC5A5	67
TACSTD2	67
HEY2	67
RHBDL1	67
PLSCR2	67
NID2	67
KRTAP19-7	67
SCARF1	67
HHEX	67
KRT83	67
WDR83	67
KRTAP4-11	67
PRR22	67
ECE1	67
KRTAP3-3	67
C22orf39	67
ZBTB32	67
ZNF672	67
SPRY4	67
C9orf24	67
ESM1	67
ZFHX2	67
ETNK2	67
CTSZ	67
KRTAP5-3	67
SLC13A5	67
FADS2	67
DHRS1	67
AL807752.7	67
SPRY1	67
PAX3	67
GATA1	67
CRYBA2	67
SEMA3B	67
SLC25A48	67
RNF208	67
LCE2B	67
BEGAIN	67
KRTAP6-3	67
KRTAP4-2	67
RALGDS	67
KRTAP9-3	67
DHX57	67
NEU4	67
FCHO1	67
MT1B	67
KRTAP7-1	67
PRF1	67
THSD7A	68
DEFB121	68
MFSD11	68
LHFPL1	68
IGFBP5	68
PROKR2	68
CLDN6	68
C1QL4	68
ZSCAN29	69
ZNF496	69
ZKSCAN4	69
PGBD1	69
ZSCAN32	69
ZNF397	69
ZSCAN18	69
ZSCAN16	69
ZNF446	69
ZKSCAN7	69
RNF186	69
ZSCAN21	69
ZNF449	69
ZNF263	69
ZNF396	69
SCAND1	69
RER1	69
ZNF174	69
ZSCAN22	69
ZSCAN30	69
ZNF232	69
ZSCAN9	69
ZSCAN12	69
SEC22C	69
ZNF24	69
ZSCAN23	69
ZNF483	69
ZSCAN25	69
WIPF1	69
ZBTB48	70
SLC22A18	70
SUMO1	70
ZBTB6	70
C18orf25	70
ZBTB26	70
CCL2	70
RNF4	70
NKX3-1	70
ZFP42	70
HMOX1	71
LCP2	71
RTP2	71
ABHD6	71
SCAMP4	71
TMEM267	71
FIS1	71
TMEM187	71
HMOX2	71
VAMP1	71
VAMP4	71
C1GALT1	71
ELOVL6	71
ERG28	71
HIP1R	72
ABLIM3	72
WAC	72
TFIP11	72
KIAA0753	72
PLN	73
TMEM243	73
TMEM65	73
BET1	73
FRMD8	73
EDDM3B	73
LPAR6	73
FUT3	73
PACC1	73
TMEM222	73
MOSPD3	73
C16orf54	73
GRAMD2B	73
CD72	73
LRP10	73
TMED9	73
MS4A14	73
SEC22A	73
PGA4	73
CLDN4	73
ITM2A	73
TMPRSS4	73
CD207	73
VAMP3	73
DYNLRB1	74
CRCP	74
ANKRD45	74
COX7C	74
MAGEA2B	74
MAGEA2	74
ACSM1	74
TRA2A	75
ZNF394	75
ZNF660	75
RNPS1	75
SRSF10	75
SRSF9	75
ZNF286A	75
XPOT	75
ZNF41	75
TRA2B	75
AC005324.3	75
ZNF345	75
SRSF3	75
KCNE5	76
LDLRAD4	76
PGRMC1	76
GET3	76
TMX1	76
SPP1	76
PUDP	77
MAGEA4	77
TSPYL4	77
ACAP1	77
UQCRB	77
COL4A5	78
CD300A	78
SLC35A4	78
TMEM218	78
UNC50	78
TMEM199	78
SLC10A4	78
EPGN	79
NCR1	79
SLC35E2A	79
ADAM33	79
SLC4A1	79
STOML3	79
ABL2	80
WASF3	80
VARS2	80
ZNF785	80
CCDC74B	80
DCTN2	80
SLA	80
AARD	80
C4orf17	80
SNAP91	80
NUP58	80
COG3	80
INSYN1	80
BLOC1S5	80
SH3BP1	80
FBXL19	80
ZMAT1	80
ABI1	80
MED29	80
ABI2	80
RASAL3	80
TPM2	80
SPANXN2	81
ZNF84	81
NOL12	81
ZNF2	81
CDC14B	81
FAM25A	82
S100A6	82
LCN1	82
TOMM20L	82
GPD1	82
ZFAND3	82
PPIC	82
IGLL1	82
FAM25G	82
ARMCX3	82
ARMC10	82
FAM25C	82
KLHL35	82
COX16	82
TMEM200A	83
ARL2	83
ARL15	83
UNC119	83
ARL16	83
PDE6D	83
CLK4	84
ZRSR2P1	84
REP15	84
ZRSR2	84
RBMX2	84
LUC7L2	84
SRRM4	84
ZNF699	84
ABHD4	85
ARFIP1	85
CPLX2	85
TMCO2	85
PBX3	85
PPIF	85
INPP5K	85
TBRG4	85
FADS6	85
CCND2	86
CDK5	86
FOXP2	86
NELFA	86
CDK3	86
RACGAP1	86
USE1	87
CCM2L	87
PSMB1	87
ARHGEF6	87
AHSP	87
BOLL	88
ZNF784	88
TBC1D3B	88
KIAA0040	88
FOXD4	88
ZNF221	88
ZNF479	88
DCANP1	88
TSPYL1	88
RNF111	88
ZNF223	88
CIB4	88
TBC1D3G	88
ZNF155	88
ZNF12	88
PSMD2	88
SELENOM	88
MDFI	88
MAGEA8	88
ZNF613	88
C8orf48	88
NSMF	89
SSBP3	89
NR2C2AP	89
AK8	89
BCL2L14	89
MED18	89
LGALSL	89
PCBP3	89
DDIT4L	89
ZNF280A	89
USF1	89
AFMID	89
RAB32	89
CAMTA2	89
PMVK	89
PPP3R2	89
MAP3K7CL	89
LRMDA	89
TBC1D1	89
EMSY	89
BANF2	89
PINX1	89
DBF4B	90
VDR	90
THAP6	90
TEX28	90
ZNF655	90
SIGLEC6	90
OTUD4	90
SYTL5	91
MLPH	91
RAB27A	91
RAB27B	91
MYRIP	91
NMI	92
HHLA3	92
BRAT1	92
MYOM3	92
HDDC3	92
SPN	93
LYVE1	93
EMC6	93
MCEMP1	93
DAGLA	93
CD300C	93
GPR151	93
VRK2	93
GJB3	93
SYT1	93
FFAR2	93
GJA8	93
PIGF	93
SSMEM1	93
TBXA2R	93
SEC61G	93
MMP14	93
ARV1	93
ACSL5	93
MRPS18B	93
NIPAL3	93
SYNE4	93
CCDC167	93
TMEM106C	93
RELL2	93
SLC35C2	93
JPH1	93
PLPPR1	93
LRRC59	93
CYB561	93
RHCG	93
SYT2	93
STOM	93
RIC3	93
TMEM176A	93
SYNDIG1	93
TOMM6	93
TMEM139	93
TMEM130	93
SCARA5	93
FAXDC2	93
TMX2	93
IL3RA	93
TMEM120A	93
TMEM80	93
VMA21	93
FAM210B	93
CERS4	93
SLC16A7	93
GGT7	93
REEP2	93
KCNJ6	93
KIR2DL3	93
PDCD1LG2	93
AHNAK2	93
FUNDC2	93
MMD	93
MUC1	93
SLC7A8	93
SLC52A1	93
OTULINL	93
SLC18A3	93
ALOX5AP	93
PTPN1	93
IL10RA	93
LRCH4	93
ERP29	93
SERF1A	93
THAP4	93
GPR101	93
ANKS6	93
GJB6	93
CD53	93
LDLRAD1	93
SPNS3	93
AQP6	93
GJA4	93
HACD1	93
CNIH4	93
VEGFA	93
NDUFAF1	93
SLC35G1	93
CLEC10A	93
ATP1B3	93
ZFYVE27	93
MS4A7	93
STX4	93
LSMEM2	93
BIK	93
SLC29A2	93
FDFT1	93
TMEM41A	93
LPCAT2	93
UBE2J2	93
SLC16A12	93
VAMP2	93
CORIN	93
TMEM237	93
DNAJC1	93
SQLE	93
KCNK1	93
FCGR2A	93
SLC39A13	93
SLC39A2	93
OPRD1	93
CLDN7	93
PVR	93
MGAM	93
GAST	93
PDZK1IP1	93
NCAPH2	93
TRHR	93
CREB3L1	93
SGCB	93
SLC10A2	93
SYPL2	93
PSCA	93
GPRC5D	93
GJB1	93
AIG1	93
PGRMC2	93
TM6SF2	93
CNIH2	93
TMEM51	93
TMEM31	93
PTGES	93
ODF4	93
EBAG9	93
ARL6IP6	93
SYNJ2BP	93
TMEFF2	93
AQP9	93
AQP8	93
RNF185	93
CLEC17A	93
SFXN2	93
THBD	93
ERGIC3	93
YIPF4	93
LY6G6C	93
EXTL1	93
MFSD5	93
HSD17B13	93
SLC16A2	93
CCDC107	93
LRRC25	93
SLC35F1	93
GPR152	93
MFSD14B	93
HHLA2	93
SLC35E3	93
TMEM45A	93
CD74	93
FCER1G	93
RTN3	93
TMEM119	93
SGPL1	93
SLC19A3	93
FRMD3	93
TM4SF19	93
SLC30A4	93
POMGNT1	93
CGRRF1	93
CLN5	93
SLC18A1	93
CLDN2	93
TMEM207	93
PAQR6	93
CD33	93
SLC26A6	93
CYP4F22	93
CD69	93
LRAT	93
SERINC2	93
SPTSSA	93
HEXB	93
AGPAT3	93
TMEM44	93
MCFD2	93
TMEM74	93
RNF170	93
PRRT2	93
CDS1	93
REEP4	93
TMEM98	93
CLEC14A	93
MYADM	93
GORAB	93
TMEM143	93
SLC16A10	93
TVP23B	93
VSIR	93
TMEM208	93
TPRG1	93
GRINA	93
CNR2	93
PIGP	93
CLDND2	93
EVI2A	93
LAPTM5	93
GYPC	93
CLEC12B	93
ELOVL7	93
CBLIF	93
FAM174A	93
CLDN10	93
CD79A	93
TMPPE	93
HIBADH	93
TMEM144	93
LEPROT	93
SPCS1	93
RNF19B	93
SGMS2	93
GKN1	93
TMEM115	93
MTIF3	93
ICMT	93
IFNGR2	93
WFDC2	93
MSMO1	93
DHRSX	93
DRAM1	93
REEP1	93
TMEM14B	93
CALN1	93
SLC35F6	93
ALG3	93
PSENEN	93
CRB3	93
GJB4	93
TLCD4	93
RUSF1	93
TMEM88	93
SLC18A2	93
C2	93
TLCD1	93
GPA33	93
ATP1B4	93
EVI2B	93
MARCHF8	93
MMGT1	93
LTC4S	93
ADGRG3	93
ELOVL5	93
BNIP1	93
CLSTN3	93
TMPRSS2	93
TSPAN12	93
LDAF1	93
PEMT	93
TMUB2	93
LAYN	93
MR1	93
NEMP1	93
SHISAL1	93
DEFB108B	93
C10orf67	93
MSR1	93
TMIE	93
SCARB2	93
TM4SF18	93
KCNN4	93
TAS2R19	93
NSDHL	93
ACKR2	93
LNPEP	93
EDA2R	93
SLC25A46	93
TBC1D20	93
PANX1	93
LHFPL2	93
PRB1	93
RNF144A	93
STMN4	93
EBP	93
CMTM2	93
ORMDL2	93
LHFPL5	93
NDUFB11	93
SLC23A2	93
YIPF2	93
GPR61	93
ANK1	93
PEDS1-UBE2V1	93
LY6D	93
NDUFAF2	93
VEZT	93
MARCHF2	93
GET1	93
MS4A3	93
CLDN9	93
BLCAP	93
MFSD12	93
SFXN3	93
TMEM234	93
SPINT1	93
SLC35E4	93
FCGR1A	93
SEC11C	93
TMCO5A	93
SLC14A1	93
MMD2	93
HSD3B1	93
ELOVL4	93
ATP6V0B	93
C8A	93
SERF1B	93
ASGR2	93
ASZ1	93
SLC35B1	93
F11R	93
ALG10	93
BEST2	93
AOC3	93
CD52	93
CISD2	93
SERINC1	93
APH1A	93
PEX12	93
MFSD3	93
LYPD5	93
SCRG1	93
TSNARE1	93
SPAG4	93
TIMMDC1	93
ARL13B	93
SLC10A1	93
MANBAL	93
UNC93A	93
FFAR3	93
HSD17B11	93
TMEM86B	93
CXCR2	93
KCNK5	93
GJA5	93
LEUTX	93
TMEM9	93
UBXN8	93
PEX11G	93
TMEM35A	93
SLC38A1	93
ICAM3	93
GJB5	93
